date;temp_max_anos;temp_min_anos;temp_media_anos;precipitacao_anos
24/07/2020;25.333.333.333.333.300;23.0;23.861.111.111.111.100;1.8
25/07/2020;25.0;22.0;23.472.222.222.222.200;0.6
26/07/2020;25.0;21.666.666.666.666.600;2.288.888.888.888.880;0.6
27/07/2020;27.0;22.333.333.333.333.300;2.378.333.333.333.330;2.4
28/07/2020;26.0;23.333.333.333.333.300;24.333.333.333.333.300;2.4
29/07/2020;26.0;21.666.666.666.666.600;24.222.222.222.222.200;0.0
30/07/2020;24.0;24.0;24.0;0.8
31/07/2020;26.0;24.75;25.416.666.666.666.600;3.6
01/08/2020;26.75;23.0;24.291.666.666.666.600;0.8
02/08/2020;27.0;24.75;25.979.166.666.666.600;0.8
03/08/2020;24.0;24.0;24.0;0.0
04/08/2020;25.5;24.0;24.833.333.333.333.300;0.2
05/08/2020;28.0;25.666.666.666.666.600;26.75;0.0
06/08/2020;24.25;23.5;23.833.333.333.333.300;0.2
07/08/2020;27.0;25.25;25.833.333.333.333.300;1.8
08/08/2020;27.75;23.25;25.583.333.333.333.300;1.6
09/08/2020;27.25;22.75;2.484.375;0.0
10/08/2020;28.75;23.0;25.833.333.333.333.300;0.0
11/08/2020;27.0;25.666.666.666.666.600;26.5;0.0
12/08/2020;26.666.666.666.666.600;25.0;25.833.333.333.333.300;0.0
13/08/2020;26.666.666.666.666.600;24.0;25.333.333.333.333.300;0.0
14/08/2020;26.666.666.666.666.600;23.0;24.5;0.2
15/08/2020;27.0;22.5;25.166.666.666.666.600;0.0
16/08/2020;28.5;24.5;27.125;0.4
17/08/2020;27.333.333.333.333.300;24.0;25.5;0.2
18/08/2020;26.5;23.5;25.0;0.0
19/08/2020;25.0;23.666.666.666.666.600;24.222.222.222.222.200;1.2
20/08/2020;26.0;24.0;24.722.222.222.222.200;1.6
21/08/2020;28.0;25.0;26.5;0.2
22/08/2020;24.5;22.5;23.5;0.2
23/08/2020;25.333.333.333.333.300;23.333.333.333.333.300;24.222.222.222.222.200;1.2
24/08/2020;25.5;22.25;23.791.666.666.666.600;0.2
25/08/2020;28.25;23.5;25.945.833.333.333.300;0.0
26/08/2020;25.25;22.75;23.858.333.333.333.300;0.0
27/08/2020;26.0;24.5;25.166.666.666.666.600;0.6
28/08/2020;27.0;23.5;25.208.333.333.333.300;0.0
29/08/2020;27.25;24.75;26.107.142.857.142.800;0.4
30/08/2020;25.5;23.25;24.666.666.666.666.600;0.0
31/08/2020;27.0;23.75;25.125;0.0
01/09/2020;27.666.666.666.666.600;26.333.333.333.333.300;27.0;1.6
02/09/2020;25.0;25.0;25.0;0.2
03/09/2020;26.0;24.333.333.333.333.300;25.055.555.555.555.500;0.0
04/09/2020;27.333.333.333.333.300;23.666.666.666.666.600;25.3;0.6
05/09/2020;26.333.333.333.333.300;23.666.666.666.666.600;2.511.111.111.111.110;0.6
06/09/2020;28.333.333.333.333.300;24.333.333.333.333.300;26.166.666.666.666.600;0.4
07/09/2020;24.0;23.666.666.666.666.600;23.833.333.333.333.300;0.2
08/09/2020;27.0;23.333.333.333.333.300;24.933.333.333.333.300;1.2
09/09/2020;27.666.666.666.666.600;26.0;26.833.333.333.333.300;0.0
10/09/2020;26.333.333.333.333.300;24.666.666.666.666.600;25.444.444.444.444.400;0.2
11/09/2020;26.333.333.333.333.300;24.666.666.666.666.600;25.333.333.333.333.300;0.0
12/09/2020;26.0;23.666.666.666.666.600;24.666.666.666.666.600;0.0
13/09/2020;26.333.333.333.333.300;24.0;25.366.666.666.666.600;0.2
14/09/2020;27.75;25.25;26.333.333.333.333.300;0.2
15/09/2020;25.25;24.75;25.083.333.333.333.300;0.0
16/09/2020;26.0;25.0;25.7;0.2
17/09/2020;27.5;24.0;255.125;0.4
18/09/2020;27.0;25.5;26.083.333.333.333.300;0.0
19/09/2020;27.2;25.2;2.623.333.333.333.330;2.2
20/09/2020;26.25;24.5;25.25;0.2
21/09/2020;27.6;24.4;26.0;0.0
22/09/2020;26.0;24.5;25.083.333.333.333.300;0.2
23/09/2020;28.75;25.25;26.733.333.333.333.300;1.0
24/09/2020;27.75;25.0;25.958.333.333.333.300;0.0
25/09/2020;28.5;25.5;27.125;0.0
26/09/2020;27.0;25.0;26.0;0.4
27/09/2020;27.25;26.0;265.625;0.2
28/09/2020;29.333.333.333.333.300;27.333.333.333.333.300;28.555.555.555.555.500;0.0
29/09/2020;28.25;27.75;28.0;0.0
30/09/2020;28.75;27.0;27.875;0.0
01/10/2020;28.75;24.75;26.504.166.666.666.600;0.0
02/10/2020;28.75;24.25;26.416.666.666.666.600;0.2
03/10/2020;27.0;25.75;263.125;0.0
04/10/2020;29.25;25.25;271.125;0.0
05/10/2020;27.25;25.25;26.25;0.0
06/10/2020;29.333.333.333.333.300;25.333.333.333.333.300;27.222.222.222.222.200;0.0
07/10/2020;27.0;25.75;26.291.666.666.666.600;0.0
08/10/2020;27.5;27.5;27.5;0.0
09/10/2020;29.75;27.25;28.583.333.333.333.300;0.0
10/10/2020;28.5;26.25;27.316.666.666.666.600;0.4
11/10/2020;28.75;26.5;27.760.416.666.666.600;0.0
12/10/2020;27.75;25.75;26.833.333.333.333.300;0.0
13/10/2020;28.666.666.666.666.600;26.0;27.322.222.222.222.200;0.4
14/10/2020;27.0;26.0;26.444.444.444.444.400;0.0
15/10/2020;29.333.333.333.333.300;24.666.666.666.666.600;26.866.666.666.666.600;0.2
16/10/2020;28.666.666.666.666.600;26.333.333.333.333.300;27.555.555.555.555.500;0.0
17/10/2020;28.333.333.333.333.300;24.333.333.333.333.300;26.083.333.333.333.300;0.0
18/10/2020;27.0;25.666.666.666.666.600;26.277.777.777.777.700;0.0
19/10/2020;28.0;25.333.333.333.333.300;2.657.777.777.777.770;0.0
20/10/2020;28.666.666.666.666.600;28.0;28.333.333.333.333.300;0.0
21/10/2020;28.333.333.333.333.300;25.0;26.444.444.444.444.400;0.0
22/10/2020;29.0;25.333.333.333.333.300;27.083.333.333.333.300;0.0
23/10/2020;28.333.333.333.333.300;24.666.666.666.666.600;26.277.777.777.777.700;0.0
24/10/2020;27.333.333.333.333.300;25.0;26.333.333.333.333.300;0.0
25/10/2020;28.666.666.666.666.600;25.666.666.666.666.600;27.194.444.444.444.400;0.0
26/10/2020;29.0;26.0;27.583.333.333.333.300;0.0
27/10/2020;27.666.666.666.666.600;25.333.333.333.333.300;26.277.777.777.777.700;0.0
28/10/2020;30.5;26.0;28.625;0.0
29/10/2020;27.0;25.0;26.0;0.0
30/10/2020;29.0;27.0;28.0;0.0
31/10/2020;27.333.333.333.333.300;26.0;26.666.666.666.666.600;0.0
01/11/2020;29.0;25.0;27.0;0.0
02/11/2020;30.0;25.0;27.5;0.0
03/11/2020;28.666.666.666.666.600;26.666.666.666.666.600;27.527.777.777.777.700;0.0
04/11/2020;28.0;25.666.666.666.666.600;26.527.777.777.777.700;0.0
05/11/2020;26.0;25.666.666.666.666.600;25.833.333.333.333.300;0.0
06/11/2020;26.0;26.0;26.0;0.0
07/11/2020;28.333.333.333.333.300;25.333.333.333.333.300;2.688.888.888.888.880;0.0
08/11/2020;29.0;26.333.333.333.333.300;27.805.555.555.555.500;0.0
09/11/2020;29.0;26.5;27.75;0.0
10/11/2020;28.5;26.0;27.375;0.0
11/11/2020;27.333.333.333.333.300;25.666.666.666.666.600;26.666.666.666.666.600;0.0
12/11/2020;29.0;25.333.333.333.333.300;27.222.222.222.222.200;0.4
